"""","生乳生産量(ﾄﾝ)","生乳移入量(ﾄﾝ)","生乳移出量(ﾄﾝ)","生乳処理量(ﾄﾝ)","飲用牛乳生産量(kl)","飲用牛乳移入量(kl)","飲用牛乳移出量(kl)","乳飲料生産量(kl)"
"昭和60年(1985年)","8729.0","1252.0","2844.0","7137.0","6722.0","15923.0","142.0","171.0"
"平成 7年(1995年)","6618.0","1350.0","1590.0","6378.0","5941.0","23983.0","131.0","128.0"
"平成17年(2005年)","3052.0","x","1903.0","x","x","12381.0","x","x"
"","","","","","","","",""
"平成20年(2008年)","4663.0","x","3721.0","x","x","6034.0","x","x"
"平成21年(2009年)","5166.0","x","4291.0","x","x","5345.0","x","x"
"平成22年(2010年)","5384.0","x","4516.0","x","x","5184.0","x","x"
"","","","","","","","",""
"平成23年(2011年)","5309.0","x","4567.0","x","x","5511.0","x","x"
"平成24年(2012年)","5289.0","x","4821.0","x","x","6536.0","x","x"
"平成25年(2013年)","4955.0","x","4488.0","x","x","7445.0","x","x"
"平成26年(2014年)","4818.0","x","4365.0","x","x","6736.0","x","x"
